,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
74,17-62,"Private,Self-emp-not-inc,State-gov",268700-278130,"5th-6th,Assoc-acdm,Assoc-voc,Bachelors,HS-grad,Masters",3-14,"Married-civ-spouse,Never-married,Separated","Craft-repair,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Other-relative,Own-child",White,Male,0,0,40-50,"Cuba,Mexico,United-States","<=50k,>50k"
75,24-67,"Private,State-gov",43323-51618,"Assoc-voc,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Other-service,Prof-specialty","Husband,Not-in-family,Unmarried,Wife",White,"Female,Male",0-14084,0-1762,24-50,United-States,"<=50k,>50k"
76,27-65,"Local-gov,Private,Self-emp-not-inc",159937-162298,"10th,11th,9th,Bachelors,HS-grad,Some-college",5-13,"Married-civ-spouse,Married-spouse-absent,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,Other,White","Female,Male",0,0-2415,6-70,"Jamaica,United-States","<=50k,>50k"
77,20-53,"Local-gov,Private",343121-350845,"10th,Bachelors,HS-grad,Some-college",6-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-14344,0,10-40,United-States,"<=50k,>50k"
78,20-53,"Local-gov,Private",343121-350845,"10th,Bachelors,HS-grad,Some-college",6-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-14344,0,10-40,United-States,"<=50k,>50k"
79,20-49,"Local-gov,Private,Self-emp-not-inc,State-gov",261192-268234,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv,Sales","Husband,Not-in-family,Own-child,Wife","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,20-50,United-States,"<=50k,>50k"
80,21-60,"Private,Self-emp-not-inc",199698-202683,"11th,Bachelors,Masters,Some-college",7-14,"Married-civ-spouse,Never-married","Exec-managerial,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried",White,"Female,Male",0,0,15-50,United-States,"<=50k,>50k"
81,23-90,"Federal-gov,Local-gov,Private",51744-56795,"9th,Assoc-voc,HS-grad,Masters,Prof-school",5-15,"Married-civ-spouse,Never-married,Widowed","Exec-managerial,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0-14084,0-2206,20-60,"Honduras,Puerto-Rico,United-States","<=50k,>50k"
82,20-57,"Federal-gov,Private",403107-426017,"11th,5th-6th,9th,Doctorate,HS-grad,Masters,Some-college",3-16,"Married-civ-spouse,Married-spouse-absent,Never-married","Craft-repair,Handlers-cleaners,Other-service,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Own-child",White,"Female,Male",0-15024,0,19-55,"El-Salvador,Mexico,United-States","<=50k,>50k"
83,19-57,"Federal-gov,Private",248402-253814,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Exec-managerial,Other-service,Prof-specialty,Protective-serv,Sales,Tech-support","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0,0,8-55,United-States,"<=50k,>50k"
84,25-59,"Local-gov,Private,State-gov",286370-289980,"7th-8th,Bachelors,HS-grad,Masters,Some-college",4-14,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Protective-serv,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0,0,35-45,"Mexico,United-States","<=50k,>50k"
85,17-58,"Private,Self-emp-inc,Self-emp-not-inc",209642-213921,"9th,Bachelors,HS-grad,Some-college",5-13,"Divorced,Married-civ-spouse,Never-married","Exec-managerial,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Black,White","Female,Male",0-15024,0,6-45,"Mexico,United-States","<=50k,>50k"
86,26-63,"Local-gov,Private,Self-emp-inc",220531-228456,"Assoc-voc,Bachelors,HS-grad,Prof-school",9-15,"Divorced,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Prof-specialty,Protective-serv,Tech-support","Husband,Not-in-family,Other-relative,Wife","Black,White","Female,Male",0,0,40-64,United-States,"<=50k,>50k"
87,23-44,"Local-gov,Private",114580-116358,"Assoc-acdm,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Handlers-cleaners,Tech-support,Transport-moving","Husband,Not-in-family,Own-child","Asian-Pac-Islander,White","Female,Male",0,0-1980,40-70,"Philippines,United-States","<=50k,>50k"
88,17-57,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",190942-192262,"1st-4th,9th,Doctorate,HS-grad,Some-college",2-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Armed-Forces,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-1055,0-1902,24-60,United-States,"<=50k,>50k"
89,21-60,"Private,Self-emp-not-inc",199698-202683,"11th,Bachelors,Masters,Some-college",7-14,"Married-civ-spouse,Never-married","Exec-managerial,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried",White,"Female,Male",0,0,15-50,United-States,"<=50k,>50k"
90,24-59,"Local-gov,Private,Self-emp-not-inc,State-gov",169846-172579,"10th,Assoc-acdm,Bachelors,HS-grad,Some-college",6-13,"Divorced,Married-civ-spouse,Never-married,Separated,Widowed","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Tech-support","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0-7298,0,20-40,"England,United-States","<=50k,>50k"
91,19-57,"Federal-gov,Private",248402-253814,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Exec-managerial,Other-service,Prof-specialty,Protective-serv,Sales,Tech-support","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0,0,8-55,United-States,"<=50k,>50k"
92,27-79,"Federal-gov,Local-gov,Private,Self-emp-inc",124191-126708,"7th-8th,HS-grad,Masters,Some-college",4-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Other-relative,Wife",White,"Female,Male",0,0-1980,20-60,"Iran,United-States","<=50k,>50k"
93,23-49,"Local-gov,Private,Self-emp-inc",197202-198282,"5th-6th,Assoc-voc,Bachelors,HS-grad,Some-college",3-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Handlers-cleaners,Other-service,Transport-moving","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0-15024,0,35-60,"Mexico,United-States","<=50k,>50k"
94,20-48,"Private,Self-emp-not-inc,State-gov",146538-153790,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Machine-op-inspct,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,Asian-Pac-Islander,White","Female,Male",0,0,25-50,United-States,"<=50k,>50k"
95,20-48,Private,186824-188386,"Assoc-voc,Doctorate,HS-grad,Some-college",9-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-15024,0-1887,25-60,United-States,"<=50k,>50k"
96,19-70,Private,103432-108658,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0,24-58,"Haiti,United-States","<=50k,>50k"
97,19-75,"Private,Self-emp-inc,Self-emp-not-inc,State-gov",311512-317660,"Assoc-acdm,Assoc-voc,HS-grad,Some-college",9-12,"Divorced,Married-civ-spouse,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-7688,0,15-40,"Columbia,Mexico,United-States","<=50k,>50k"
98,21-50,"Private,Self-emp-not-inc",193884-197200,"11th,7th-8th,Assoc-acdm,Assoc-voc,HS-grad,Some-college",4-12,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Wife",White,"Female,Male",0-7688,0-1564,20-50,"Ecuador,United-States","<=50k,>50k"
99,23-52,"Local-gov,Private,Self-emp-not-inc",188401-190762,"1st-4th,Assoc-acdm,HS-grad,Some-college",2-12,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Machine-op-inspct,Protective-serv","Husband,Not-in-family,Own-child","Black,White","Female,Male",0,0,20-52,"Mexico,United-States",<=50k
100,27-79,"Federal-gov,Local-gov,Private,Self-emp-inc",124191-126708,"7th-8th,HS-grad,Masters,Some-college",4-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Other-relative,Wife",White,"Female,Male",0,0-1980,20-60,"Iran,United-States","<=50k,>50k"
101,18-71,"Private,Self-emp-not-inc",428030-494223,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Separated","Craft-repair,Exec-managerial,Handlers-cleaners,Sales","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0-1977,2-65,United-States,"<=50k,>50k"
102,17-61,"Private,Self-emp-inc,State-gov",65324-71195,"11th,Assoc-acdm,Bachelors,HS-grad,Masters,Prof-school",7-15,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Prof-specialty,Sales","Husband,Not-in-family,Own-child",White,"Female,Male",0,0,12-60,United-States,"<=50k,>50k"
103,23-58,"Federal-gov,Local-gov,Private,Self-emp-not-inc",321171-340148,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married","Adm-clerical,Farming-fishing,Handlers-cleaners,Other-service,Prof-specialty,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0,0-1887,30-50,"Canada,Cuba,Poland,United-States","<=50k,>50k"
104,22-45,Private,377869-399087,"11th,5th-6th,Bachelors,HS-grad,Masters,Some-college",3-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Other-relative,Own-child,Wife","Black,White","Female,Male",0-4064,0-1876,25-40,"Mexico,United-States",<=50k
105,19-56,"Private,State-gov",101128-102864,"Assoc-acdm,Assoc-voc,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0,0,25-50,"Iran,United-States","<=50k,>50k"
106,26-53,"Federal-gov,Private",92440-96129,"12th,9th,Assoc-acdm,Assoc-voc,HS-grad,Some-college",5-12,"Divorced,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Handlers-cleaners,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried",White,"Female,Male",0,0-1977,40-50,United-States,"<=50k,>50k"
107,18-56,"Private,Self-emp-inc,Self-emp-not-inc",302146-309974,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married,Separated","Adm-clerical,Farming-fishing,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Asian-Pac-Islander,Black,White","Female,Male",0,0,20-60,"Cambodia,Laos,United-States","<=50k,>50k"
108,23-49,"Local-gov,Private,Self-emp-inc",197202-198282,"5th-6th,Assoc-voc,Bachelors,HS-grad,Some-college",3-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Handlers-cleaners,Other-service,Transport-moving","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0-15024,0,35-60,"Mexico,United-States","<=50k,>50k"
109,17-60,"Local-gov,Private",242606-248344,"11th,7th-8th,HS-grad,Some-college",4-10,"Divorced,Married-civ-spouse,Never-married,Separated","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,12-56,"Mexico,United-States","<=50k,>50k"
110,19-56,"Private,State-gov",101128-102864,"Assoc-acdm,Assoc-voc,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0,0,25-50,"Iran,United-States","<=50k,>50k"
111,21-60,"Private,Self-emp-not-inc",199698-202683,"11th,Bachelors,Masters,Some-college",7-14,"Married-civ-spouse,Never-married","Exec-managerial,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried",White,"Female,Male",0,0,15-50,United-States,"<=50k,>50k"
112,23-47,"Private,Self-emp-not-inc,State-gov",117963-122272,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Protective-serv,Tech-support","Husband,Own-child,Unmarried,Wife",White,"Female,Male",0-7298,0,16-60,United-States,"<=50k,>50k"
113,28-63,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov",72887-80914,"9th,Assoc-voc,Bachelors,HS-grad,Masters,Prof-school",5-15,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Machine-op-inspct,Prof-specialty","Husband,Not-in-family,Own-child,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-2174,0,30-55,"Germany,United-States","<=50k,>50k"
114,20-49,"Local-gov,Private,Self-emp-not-inc,State-gov",261192-268234,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv,Sales","Husband,Not-in-family,Own-child,Wife","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,20-50,United-States,"<=50k,>50k"
115,19-44,"Private,Self-emp-not-inc,State-gov",290521-301606,"Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Other-service,Protective-serv,Sales","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0-7298,0,35-50,United-States,"<=50k,>50k"
116,25-59,"Local-gov,Private,State-gov",286370-289980,"7th-8th,Bachelors,HS-grad,Masters,Some-college",4-14,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Protective-serv,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0,0,35-45,"Mexico,United-States","<=50k,>50k"
117,20-65,"Local-gov,Private",111095-114060,"Assoc-acdm,Bachelors,HS-grad,Prof-school,Some-college",9-15,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Transport-moving","Husband,Own-child,Wife",White,"Female,Male",0,0-1719,16-45,"Portugal,United-States","<=50k,>50k"
118,23-44,"Local-gov,Private",114580-116358,"Assoc-acdm,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Handlers-cleaners,Tech-support,Transport-moving","Husband,Not-in-family,Own-child","Asian-Pac-Islander,White","Female,Male",0,0-1980,40-70,"Philippines,United-States","<=50k,>50k"
119,22-46,"Federal-gov,Private",351299-371987,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family","Black,White","Female,Male",0,0,15-80,United-States,<=50k
120,17-61,"Private,Self-emp-inc,State-gov",65324-71195,"11th,Assoc-acdm,Bachelors,HS-grad,Masters,Prof-school",7-15,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Prof-specialty,Sales","Husband,Not-in-family,Own-child",White,"Female,Male",0,0,12-60,United-States,"<=50k,>50k"
121,24-67,"Private,State-gov",43323-51618,"Assoc-voc,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Other-service,Prof-specialty","Husband,Not-in-family,Unmarried,Wife",White,"Female,Male",0-14084,0-1762,24-50,United-States,"<=50k,>50k"
122,23-47,"Private,Self-emp-not-inc,State-gov",117963-122272,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Protective-serv,Tech-support","Husband,Own-child,Unmarried,Wife",White,"Female,Male",0-7298,0,16-60,United-States,"<=50k,>50k"
123,25-58,"Federal-gov,Local-gov,Private,Self-emp-inc",254202-259323,"10th,Bachelors,HS-grad,Masters,Some-college",6-14,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family","Asian-Pac-Islander,Black,White","Female,Male",0,0-1408,20-75,"Thailand,United-States","<=50k,>50k"
124,30-59,"Private,Self-emp-not-inc,State-gov",141297-146268,"Assoc-acdm,Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Married-spouse-absent","Adm-clerical,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-7688,0-1380,35-42,"India,Taiwan,United-States","<=50k,>50k"
125,27-79,"Federal-gov,Local-gov,Private,Self-emp-inc",124191-126708,"7th-8th,HS-grad,Masters,Some-college",4-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Other-relative,Wife",White,"Female,Male",0,0-1980,20-60,"Iran,United-States","<=50k,>50k"
126,20-51,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",56915-64293,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Prof-specialty,Sales","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,White","Female,Male",0-2407,0,30-60,United-States,<=50k
127,19-66,"Local-gov,Private,Self-emp-not-inc",163003-169469,"7th-8th,Assoc-voc,Bachelors,HS-grad",4-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife","Asian-Pac-Islander,Other,White","Female,Male",0-1409,0-2179,35-80,"Philippines,Puerto-Rico,United-States",<=50k
128,20-50,"Private,Self-emp-not-inc",30653-34918,"Assoc-acdm,Bachelors,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child,Wife","Other,White","Female,Male",0-2407,0,15-98,"Germany,United-States",<=50k
129,23-60,"Private,Self-emp-not-inc",81281-85815,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Prof-specialty,Sales","Husband,Not-in-family,Wife","Asian-Pac-Islander,White","Female,Male",0,0,13-40,United-States,"<=50k,>50k"
130,17-61,"Private,Self-emp-inc,State-gov",65324-71195,"11th,Assoc-acdm,Bachelors,HS-grad,Masters,Prof-school",7-15,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Prof-specialty,Sales","Husband,Not-in-family,Own-child",White,"Female,Male",0,0,12-60,United-States,"<=50k,>50k"
131,19-67,"Federal-gov,Private,Self-emp-not-inc",228528-235485,"10th,11th,Assoc-acdm,HS-grad,Prof-school,Some-college",6-15,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife","Black,White","Female,Male",0-20051,0,35-48,United-States,"<=50k,>50k"
132,19-75,"Private,Self-emp-inc,Self-emp-not-inc,State-gov",311512-317660,"Assoc-acdm,Assoc-voc,HS-grad,Some-college",9-12,"Divorced,Married-civ-spouse,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-7688,0,15-40,"Columbia,Mexico,United-States","<=50k,>50k"
133,21-50,"Private,Self-emp-not-inc",193884-197200,"11th,7th-8th,Assoc-acdm,Assoc-voc,HS-grad,Some-college",4-12,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Wife",White,"Female,Male",0-7688,0-1564,20-50,"Ecuador,United-States","<=50k,>50k"
134,19-70,Private,103432-108658,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0,24-58,"Haiti,United-States","<=50k,>50k"
135,26-47,"Federal-gov,Local-gov,Private,State-gov",184018-186110,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Machine-op-inspct,Prof-specialty,Tech-support,Transport-moving","Husband,Not-in-family,Unmarried","Black,White","Female,Male",0,0,15-45,"Mexico,United-States","<=50k,>50k"
136,17-65,"Private,Self-emp-not-inc,State-gov",175024-176796,"11th,Assoc-acdm,HS-grad,Some-college",7-12,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Farming-fishing,Handlers-cleaners,Other-service,Protective-serv,Sales","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0-2176,0,18-45,United-States,<=50k
137,19-70,Private,103432-108658,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0,24-58,"Haiti,United-States","<=50k,>50k"
138,18-64,"Local-gov,Private,Self-emp-not-inc",181054-183930,"11th,Bachelors,HS-grad,Some-college",7-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0,0-2179,12-50,"Poland,United-States","<=50k,>50k"
139,26-47,"Federal-gov,Local-gov,Private,State-gov",184018-186110,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Machine-op-inspct,Prof-specialty,Tech-support,Transport-moving","Husband,Not-in-family,Unmarried","Black,White","Female,Male",0,0,15-45,"Mexico,United-States","<=50k,>50k"
140,23-49,"Local-gov,Private,Self-emp-inc",197202-198282,"5th-6th,Assoc-voc,Bachelors,HS-grad,Some-college",3-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Handlers-cleaners,Other-service,Transport-moving","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0-15024,0,35-60,"Mexico,United-States","<=50k,>50k"
141,19-66,"Local-gov,Private,Self-emp-not-inc",163003-169469,"7th-8th,Assoc-voc,Bachelors,HS-grad",4-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife","Asian-Pac-Islander,Other,White","Female,Male",0-1409,0-2179,35-80,"Philippines,Puerto-Rico,United-States",<=50k
142,19-44,"Private,Self-emp-not-inc,State-gov",290521-301606,"Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Other-service,Protective-serv,Sales","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0-7298,0,35-50,United-States,"<=50k,>50k"
143,20-48,Private,186824-188386,"Assoc-voc,Doctorate,HS-grad,Some-college",9-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-15024,0-1887,25-60,United-States,"<=50k,>50k"
144,23-56,"Local-gov,Private",214542-220419,"5th-6th,Bachelors,HS-grad",3-13,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Protective-serv,Tech-support,Transport-moving","Husband,Not-in-family,Wife",White,"Female,Male",0,0-2339,40-56,"Mexico,United-States","<=50k,>50k"
145,18-71,"Private,Self-emp-not-inc",428030-494223,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Separated","Craft-repair,Exec-managerial,Handlers-cleaners,Sales","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0-1977,2-65,United-States,"<=50k,>50k"
146,17-57,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",190942-192262,"1st-4th,9th,Doctorate,HS-grad,Some-college",2-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Armed-Forces,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-1055,0-1902,24-60,United-States,"<=50k,>50k"
147,26-63,"Local-gov,Private,Self-emp-inc",220531-228456,"Assoc-voc,Bachelors,HS-grad,Prof-school",9-15,"Divorced,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Prof-specialty,Protective-serv,Tech-support","Husband,Not-in-family,Other-relative,Wife","Black,White","Female,Male",0,0,40-64,United-States,"<=50k,>50k"
148,19-57,"Federal-gov,Private",248402-253814,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Exec-managerial,Other-service,Prof-specialty,Protective-serv,Sales,Tech-support","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0,0,8-55,United-States,"<=50k,>50k"
